product_description,reason_for_recall,status,classification,recalling_firm,recall_initiation_date,voluntary_mandated,city,state
"Testosterone CYP/ENAN/PROP Injection in Cottonseed Oil, 66.6 mg/66.6. mg/66.6 mg/mL, 5 mL vials, Rx only, Essential Wellness PHARMACY, 4625 N. University, Peoria, IL 61614.",Lack of Assurance of Sterility:  A recall of all compounded sterile preparations within expiry is being initiated due to observations associated with poor sterile production practices resulting in a lack of sterility assurance for their finished drugs.,Terminated,Class II,"Kalman Health & Wellness, Inc. dba Essential Wellness Pharma",20150903,Voluntary: Firm initiated,Peoria,IL
"MYERS' COCKTAIL, packaged in 37 mL vials, Rx only,  Well Care Compounding Pharmacy Las Vegas, NV 89121",Lack of Assurance of Sterility: FDA inspection identified GMP violations potentially impacting product quality and sterility.,Terminated,Class II,Well Care Compounding Pharmacy,20160517,Voluntary: Firm initiated,Las Vegas,NV
"10 mcg/mL Fentanyl Citrate and 0.1% Bupivacaine HCl (Preservative Free) in 0.9% Sodium Chloride,	 250 mL in 250 mL Baxter Intravia Bag, Service Code 2K8142, Rx Only,  Compounded by PharMEDium Services, LLC, Memphis, TN 36141, NDC 61553-142-02",Presence of Particulate Matter: API contaminated with glass particulate was used to produce sterile injectable drugs.,Terminated,Class II,"Pharmedium Services, LLC",20160505,Voluntary: Firm initiated,Lake Forest,IL
"HILLYARD, Alcohol Free Foaming Instant Hand Sanitizer, Benzalkonium Chloride 0.10%, 1.25 L plastic bottle, OTC, HILLYARD IDUSTRIES, St. Joseph, MO. 64502 NDC 76402-403-03",Microbial Contamination of Non-Sterile Products: The product may be contaminated with bacteria.,Terminated,Class II,Hillyard GMP,20121228,Voluntary: Firm initiated,Saint Joseph,MO
"Derma-Smoothe/FS fluocinolone acetonide 0.01% Topical Oil (Body Oil) 4 fl. oz., Rx only  Manufactured and Distributed by: Hill Dermaceuticals, Inc. Sanford, Florida 32773 NDC 28105-150-04","Subpotent Drug: The active ingredient, fluocinolone acetonide, was found to be subpotent during the firm's routine testing.",Terminated,Class III,"Hill Dermaceuticals, Inc.",20140131,Voluntary: Firm initiated,Sanford,FL
"5 mcg/mL Fentanyl Citrate and 0.0625% Bupivacaine HCl (Preservative Free) in 0.9% Sodium Chloride    Service Code	2K8135	,	NDC	61553-135-48	,	100 ml in 150 ml Baxter Intravia Bag 	;  Service Code	2K8136	,	NDC	61553-136-02	,	250 ml in 250 ml Baxter Intravia Bag 	;  Service Code	2K8447	,	NDC	61553-447-25	,	500 ml in 500 ml Baxter Intravia Bag 	;  Service Code	2K9135	,	NDC	61553-135-10	,	350 ml in 500 ml Baxter Intravia Bag 	;  Service Code	2K9915	,	NDC	61553-915-97	,	250 ml in 250 ml Baxter Intravia Bag 	;  Service Code	4J8136	,	NDC	61553-136-97	,	250 ml in 250 ml Baxter Intravia Bag 	;  Rx Only,  Compounded by PharMEDium Services, LLC, Memphis, TN 36141,",Presence of Particulate Matter: API contaminated with glass particulate was used to produce sterile injectable drugs.,Terminated,Class II,"Pharmedium Services, LLC",20160505,Voluntary: Firm initiated,Lake Forest,IL
"Promethazine With Codeine Oral Solution, (Promethazine Hydrochloride 6.25 mg/5mL & Codeine Phosphate 10 mg/5 mL), 1 Pint (473 mL), Rx Only, Manufactured For: Wockhardt USA, LLC, Parsippany, NJ 07054; Manuractured By: Morton Grove Pharmaceuticals, Inc, Morton Grove, IL 60053. NDC: 60432-606-16",CGMP Deviations: Potential concern with products manufactured using liquid sugar batches contaminated with microbial organisms.,Completed,Class II,"Morton Grove Pharmaceuticals, Inc.",20210903,Voluntary: Firm initiated,Morton Grove,IL
"Cyclobenzaprine Hydrochloride Tablets, 7.5mg, 100 count tablets per bottle, Rx Only, Manufactured by: Actavis Laboratories FL, Inc. Fort Lauderdale, FL 33314, NDC 70199-014-01",CGMP Deviations: Out of specification (OOS) test result for Total Aerobic Microbial Count (TAMC) and Total Yeast and Mold Count (TYMC)  for an excipient batch of Dibasic Calcium Phosphate.,Terminated,Class II,Teva Pharmaceuticals USA,20210729,Voluntary: Firm initiated,Parsippany,NJ
"Tolterodine Tartrate Tablets, 1 mg, 60 Tablet Bottles, Rx only.  Mylan Pharmaceuticals Inc., Morgantown, WV 26505. NDC: 0378-5445-91.",Failed Impurities/Degradation Specifications; Out of specification for lactol and total impurities.,Terminated,Class III,Mylan Pharmaceuticals Inc.,20140620,Voluntary: Firm initiated,Morgantown,WV
BUP 10MG/HYDROM 15MG/SUF 200MCG/ML  INJ in 20 mL syringe Assurance Infusion (713) 533-8800,Lack of sterility assurance.,Terminated,Class II,Assurance Infusion,20191220,Voluntary: Firm initiated,Houston,TX
"BI-EST Creams, Rx, compounded by Life Science Pharmacy Inc., Harriman, NY",Penicillin Cross Contamination: potentially contaminated with penicillin,Terminated,Class II,Life Science Pharmacy Inc,20150608,Voluntary: Firm initiated,Harriman,NY
"VENLAFAXINE Tablet, 25 mg, Rx only, Distributed by: AidaPak Service, LLC, NDC 16714031101","Labeling: Label Mixup; VENLAFAXINE Tablet, 25 mg may be potentially mislabeled as    OMEPRAZOLE/SODIUM BICARBONATE, Capsule, 20 mg/1,110 mg, NDC 11523726503, Pedigree: AD65457_22, EXP: 5/24/2014.",Terminated,Class II,"Aidapak Services, LLC",20130702,Voluntary: Firm initiated,Vancouver,WA
Boost VHC Oral Liquid VAN #27 NDC 43900-0182-15 27 days supply,Lack of Processing Controls.,Terminated,Class II,"Kroger Specialty Pharmacy, Inc.",20180403,Voluntary: Firm initiated,Vicksburg,MS
"Telmisartan and Hyrdochlorothiazide Tablets 80 mg/25 mg, 30-count bottles, Rx Only, Manufactured for: Macleods Pharma USA, Inc. Plainsboro, NJ 08536 Manufactured by: Macleods Pharmaceuticals Ltd. Baddi Himachal Pradesh, INDIA, NDC 33342-130-07",Failed Content Uniformity Specifications: The product is out of specification for blend uniformity.,Terminated,Class II,Macleods Pharma Usa Inc,20190225,Voluntary: Firm initiated,Plainsboro,NJ
"PROCAINE HCL, P.F. 1% INJECTABLE	1000 ML  	180 ML;  PROCAINE HCL, P.F. 2% INJECTABLE	300 ML  	  	360 ML  	450 ML;  PROCAINE HCL, P.F. 8% INJECTABLE	20 ML  	60 ML  (7 DIFFERENT PRODUCTS)",Lack of Assurance of Sterility: Franck's Lab Inc. initiated a recall of all Sterile Human Drugs distributed between 11/21/2011 and 05/21/2012. FDA environmental sampling revealed the presence of microorganisms and fungal growth in the clean room where sterile products were prepared.,Terminated,Class II,"Franck's Lab Inc., d.b.a. Franck's Compounding Lab",20120521,Voluntary: Firm initiated,Ocala,FL
"Betadine (povidone-iodine), Sterile Ophthalmic Solution, Preservative Free, 5% 0.5mL per syringe, Single Use Syringe, For Topical Ophthalmic Use, Edge Pharma, LLC, 656 Hercules Dr., Colchester, VT 05446, NDC 05446-1680-01",Lack of Assurance of Sterility,Terminated,Class II,"Edge Pharma, LLC",20211206,Voluntary: Firm initiated,Colchester,VT
"QuadMix Injectable (PGE1/Papaverine HCl/Phentolamine Mesylate/Atropine) 50mcg/40mg/4mg/0.4mg/mL INJECTABLE, packaged in 2.5 mL Multiple-Dose vials, Rx Only, Compounded by: Akina Pharmacy, 23475 Rock Haven Way Suite 105, Sterling, VA  20166.",Lack of Assurance of Sterility,Terminated,Class II,Northern VA Compounders PLLC,20221230,Voluntary: Firm initiated,Sterling,VA
"PVP Scrub Solution, Povidone Iodine, 7.5% (equivalent to 0.75% available iodine), 4 FL OZ bottle, Manufactured in USA by Medline Industries, Inc., Northfield, IL 60093; Product Number MDS093945; NDC 53329-938-04",Subpotent Drug: product not meeting the iodine assay level requirements through the labeled expiry.,Terminated,Class II,Medline Industries Inc,20180215,Voluntary: Firm initiated,Northfield,IL
"Tatiomax Gluatathione Whitening kits, 1400mg vials, Made in Japan","Marketed Without An Approved NDA/ANDA: Flawless Beauty, LLC is voluntarily recalling all lots of different products sold individually or as part of multi-unit kits in accordance with Consent Decree of Permanent Injunction ordered by the United States District Court due to misbranding and unapproved new drugs pursuant to the FD&C Act.",Terminated,Class II,Flawless Beauty LLC,20180119,Voluntary: Firm initiated,Asbury Park,NJ
"LA FRESH travel lite Sunnyside Lotion Wipe silky, non-greasy formula smooth, soft & moisturizing featuring titanium dioxide, 1 wipe individually wrapped packet, 4.75"" x 5.75"" (12.0 cm x 14.6 cm) Ingredients: Water, Dimethicone, Dimethiconol, Titanium Dioxide, Benzophenone-3, Octinoxate, Ethylhexylglycerine, Phenoxyethanol, Distributed by La Fresh Group, Inc. Chino, CA 91710 www.LaFreshGroup.com",Marketed without an Approved NDA/ANDA: The product may be construed a sunscreen due to labeling of the product and comments about the product found on e-commerce websites.,Terminated,Class II,"La Fresh Group, Inc.",20190715,Voluntary: Firm initiated,Chino,CA
"Phenobarbital Tablets USP, 30 mg, 1000 count bottles, Rx Only, Manufactured by West-ward Pharmaceutical Corp. Eatontown, NJ 07724, Distributed by Truxton, Inc., Bellmawr, NJ 08031, NDC 0463-6145-10",Labeling: Label Mixup; potentially mislabeled,Terminated,Class I,C. O. Truxton,20170420,Voluntary: Firm initiated,Bellmawr,NJ
"Phenytoin Oral Suspension USP, 125 mg/5 mL potency,  8 fl oz (237 mL) Rx Only Mfd. by: Taro Pharmaceuticals Industries Ltd. Haifa Bay, Israel 2624761 Dist. by: Taro Pharmaceuticals U.S.A. Inc. Hawthorne, NY 10532,  NDC 51672-4069-1",Resuspension Problems: Two lots of Phenytoin Oral Suspension USP 125mg/5mL may coagulate and may not resuspend as per the label copy instructions.,Terminated,Class I,"Taro Pharmaceuticals U.S.A., Inc.",20200207,Voluntary: Firm initiated,Hawthorne,NY
"Ephedrine Sulfate 5 mg/ml in 0.9% Sodium Chloride, 5 mL syringe, Rx Only, Compounded by PHARMAKON Pharmaceuticals, Noblesville, IN 46060, NDC 45183-0939-70",Lack of Assurance of Sterility,Terminated,Class II,"Pharmakon Pharmaceuticals, Inc.",20160420,Voluntary: Firm initiated,Noblesville,IN
"NIFEdipine ER, Tablet, 60 mg, Rx only, Distributed by: AidaPak Service, LLC, NDC 00591319401.","Labeling: Label Mixup: NIFEdipine ER, Tablet, 60 mg may have potentially been mislabeled as the following drug:   NICOTINE POLACRILEX, LOZENGE, 2 mg, NDC 00135051001, Pedigree: W003749, EXP: 6/26/2014.",Terminated,Class II,"Aidapak Services, LLC",20130702,Voluntary: Firm initiated,Vancouver,WA
"Tizanidine HCl active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,Class II,Attix Pharmaceuticals,20141114,Voluntary: Firm initiated,Toronto,
"Dexamethasone Sodium Phosphate added to 0.9% Sodium Chloride in all strengths, all doses, and all packaging.",Lack of sterility assurance.,Terminated,Class II,"Pharmedium Services, LLC",20171227,Voluntary: Firm initiated,Lake Forest,IL
"Torsemide Tablets, 5 mg 100-count bottle, Rx only ,Manufactured by: Apotex Inc., Toronto, Ontario, Canada, M9W, 6Y3, Manufactured for: Apotex Corp., Weston, FL 33326, NDC 60505-0232-01",CGMP Deviations,Terminated,Class II,Apotex Corp.,20161214,Voluntary: Firm initiated,Weston,FL
"Estradiol Valerate Injection, all strengths and all presentations including a) Estradiol Valerate 40-10 mL and b) Estradiol Valerate 40-30 mL, Rx only, Green Valley Drugs, 1850 Whitney Mesa, #180, Henderson, NV  89014.","Lack of Assurance of Sterility: all sterile products compounded, repackaged, and distributed by this compounding pharmacy due to lack of sterility assurance and concerns associated with the quality control processes.",Terminated,Class II,"FVS Holdings, Inc. dba. Green Valley Drugs",20130410,Voluntary: Firm initiated,Henderson,NV
"Aprepitant Capsule, USP, 40 mg, 1 capsule per unit dose package, Rx only, MFG: Sandoz Pharma, NDC 0781-2321-06",cGMP deviations: Temperature abuse,Terminated,Class II,Mckesson Medical-Surgical Inc. Corporate Office,20220413,Voluntary: Firm initiated,Richmond,VA
"Hemorrhoidal Suppositories (Phenylephrine HCl 0.25%; Hard Fat 88.7%), 12 Rectal Suppositories per carton, NDC: 0536-1389-12, Distributed by Rugby Laboratories, Livonia MI 48152 USA.",cGMP Deviations: Potential product contamination with Burkholderia cepacia (B.cepacia) and Ralstonia pickettii (R. pickettii).,Terminated,Class II,Torrent Pharma Inc,20190521,Voluntary: Firm initiated,Levittown,PA
"PHENobarbital, Tablet, 97.2 mg, Rx only, Distributed by: AidaPak Service, LLC, NDC 00603516832.","Labeling: Label Mixup: PHENobarbital, Tablet, 97.2 mg may have potentially been mislabeled as the following drug:  EFAVIRENZ, Capsule, 200 mg, NDC 00056047492, Pedigree: AD46312_31, EXP: 5/16/2014.",Terminated,Class II,"Aidapak Services, LLC",20130702,Voluntary: Firm initiated,Vancouver,WA
"B-12/Adenosine 10ml, Main Street Compounding Pharmacy, 126 East Main Street, Newbern, TN 38059, 888-658-6200",The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,Terminated,Class II,"Main Street Family Pharmacy, LLC",20130528,Voluntary: Firm initiated,Newbern,TN
"Losartan Potassium Tablets USP 100 mg, supplied in a) 30 count (NDC 23155-646-03, b) 90 count (NDC 23155-646-09) and 1000 count (NDC 23155-646-10) bottles, Rx only, Manufactured by: Vivimed Life Sciences Private Limited, Tamil Nadu, India  Manufactured for: Heritage Pharmaceutical Inc., East Brunswick, NJ 08816","CGMP Deviations: FDA lab confirmed presence of an impurity, N-Methylnitrosobutyric acid (NMBA) in the finished product above the interim acceptable daily intake level",Terminated,Class II,"Avet Pharmaceuticals, Inc.",20200326,Voluntary: Firm initiated,East Brunswick,NJ
"24-HOUR Oral Care q2 Kit with Ballard* Technology, containing 2 Toothbrush Packs with CHG Solution, Chlorhexidine Gluconate Oral Rinse, 0.12%, 15 mL unit dose cup (NDC 50383-720-15), Rx Only, Hi-Tech Pharmacal Co., Inc. Amityville, NY 11701; Kit Manufactured by Halyard Health, Inc., 5405 Windward Parkway, Alpharetta, GA  30004; Distributed in the USA by Halyard Sales, LLC, Alpharetta, GA 30004, Product 97012.",Subpotent Drug: Product crystallization with accompanying low out of specification results for chlorhexidine assay.,Terminated,Class III,"Akorn, Inc.",20180329,Voluntary: Firm initiated,Lake Forest,IL
"ROCK-IT MAN capsules, male sexual stimulant, packaged in 1-count (UPC 8 53447 02003 8) and 2-count (UPC 8 53447 00204 1) blister cards, Distributed by Consumer Concepts.","Marketed Without An Approved NDA/ANDA: FDA analysis found the product to contain hydroxythiohomosildenafil, an analogue of sildenafil which is an ingredient in an FDA-approved drug for the treatment of male erectile dysfunction, making this an unapproved new drug.",Terminated,Class I,"Consumer Concepts, Inc.",20130401,Voluntary: Firm initiated,Roscoe,IL
"Perrigo, Clindamycin Palmitate Hydrochloride for Oral Solution, USP,  75mg/5mL, 100 ml, NDC 0574-0129-01",Presence of Particulate Matter Perrigo is recalling seven lots of Clindamycin Palmitate Hydrochloride for Oral Solution 75mg/5ml.,Terminated,Class II,"Paddock Laboratories, LLC",20140311,Voluntary: Firm initiated,Minneapolis,MN
"Zenatane (isotretinoin) Capsules, USP, 20 mg, 30-count (3 x 10 Prescription Packs) per carton, Rx Only, Manufactured By: Cipla Limited, Kurkumbh Village, Pune 413802 India, Manufactured For: Dr. Reddy's Laboratories, Bachupally 500 090 India, NDC 55111-136-81",Failed Dissolution Specifications: out of specification results observed for low dissolution.,Terminated,Class II,"Dr. Reddy's Laboratories, Inc.",20170522,Voluntary: Firm initiated,Princeton,NJ
"5-MTHF *10ML* MDV 5MG/ML INJ, Injection, 5mg/mL, Rx only, 10mL Glass/Multiple Dose vial, Prepared by Key Compounding Pharmacy",Lack of Assurance of Sterility: The firm is recalling sterile compounded drugs within expiry due to lack of assurance of sterility.,Terminated,Class II,Key Pharmacy and Compounding Center,20170418,Voluntary: Firm initiated,Federal Way,WA
"VANCOmycin 1.25 grams added to 0.9% Sodium Chloride 500 mL bag, Rx Only, Banner Health Compounding Pharmacy 7300 W Detroit St Chandler, AZ 95226, NDC 7025007001",Lack of Assurance of Sterility.,Terminated,Class II,"Banner Pharmacy Services, LLC",20171010,Voluntary: Firm initiated,Chandler,AZ
"0.9% Sodium Chloride Injection, USP, 50 mL, VIAFLEX Plastic Container Multi Pack, Rx Only, Baxter Healthcare Corporation, Deerfield, IL , Product code 2B1308, NDC 0338-0049-31",Lack of Assurance of Sterility; increased complaints received for leaks,Terminated,Class II,Baxter Healthcare Corp,20150323,Voluntary: Firm initiated,Deerfield,IL
"Lansoprazole Delayed-Release Orally Disintegrating Tablets 15 mg, 100 Tablets (10x10 unit dose) blister pack, Rx only,  Manufactured by: Cadila Healthcare Ltd. Ahmedabad, India Distributed by: Zydus Pharmaceuticals USA Inc. Pennington, NJ 08534 NDC 68382-771-77",Failed Dissolution Specifications,Terminated,Class II,Zydus Pharmaceuticals (USA) Inc,20201203,Voluntary: Firm initiated,Pennington,NJ
"Benoxinate HCl active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,Class II,Attix Pharmaceuticals,20141114,Voluntary: Firm initiated,Toronto,
"Ranitidine Tablets, USP 150 mg , a). 4 count bottle (NDC 70934-017-04), b). 20-count bottle (NDC 70934-017-20), c). 24-count bottle (NDC 70934-017-24) d). 30-count bottle (NDC 70934-017-30) e). 90-count bottle (NDC 70934-017-90), Rx Only, Repackaged by: Northwind Pharmaceuticals North Brenheim, NY 12131.",CGMP Deviations: Presence of NDMA impurity detected in product.,Terminated,Class II,"Denton Pharma, Inc.",20191220,Voluntary: Firm initiated,North Blenheim,NY
"Losartan Potassium / Hydrochlorothiazide Tablets, USP 100mg/12.5mg,  a) 30-count (NDC: 13668-117-30), b) 90-count (NDC: 13668-117-90) per bottle , Rx only, Manufactured by: Torrent Pharmaceuticals LTD, Indrad-382 721, Dist. Mehsana India.  For: Torrent Pharma, Inc, 150 Allen Road, Suite 102, Basking Ridge, NJ","CGMP Deviations: FDA lab confirmed presence of an impurity, N-Methylnitrosobutyric acid (NMBA)  in the finished product above the interim acceptable daily intake level.",Ongoing,Class II,Torrent Pharma Inc.,20190228,Voluntary: Firm initiated,Basking Ridge,NJ
"Vitamin D3 in Sesame Oil Injectable 100,000 IU/mL, 5 mL, vial, Compounded by Wells Pharmacy, Ocala, FL",Lack of Assurance of Sterility,Terminated,Class II,Wells Pharmacy Network LLC,20160921,Voluntary: Firm initiated,Ocala,FL
"Cholecalciferol 600,000 IU/ml Injectable, ml Vial, Sterile, Refrigerate, The Compounding Pharmac of America, Knoxville, TN",Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Terminated,Class II,The Compounding Pharmacy of America,20150602,Voluntary: Firm initiated,Knoxville,TN
"Ultimate Formula, Net Wt. 250 mg, 48 capsules per bottle, Distributed by:  Zi Xiu Tang Success, LLC., Trexlertown, PA  18087, UPC 7 9357304140 1","Marketed Without An Approved NDA/ANDA: Products were found to contain undeclared sibutramine, the active ingredient in a previously approved FDA product indicated for weight loss but removed from the market for safety reasons, making these products unapproved new drugs.",Terminated,Class I,"Zi Xiu Tang Success, LLC",20121022,Voluntary: Firm initiated,Kutztown,PA
"Dologen (acetaminophen 325 mg and dexbrompheniramine maleate 1mg) caplets, packaged in a) 90-count bottles, b) 2-count packets, Manufactured in the USA for Kramer-Novis, San Juan, Puerto Rico 00917, NDC 52083-482-02",cGMP deviations,Terminated,Class II,Ultra Seal Corporation,20220124,Voluntary: Firm initiated,New Paltz,NY
"HCG 2000 Units/mL Injection, packaged in a) 4 mL and b) 15 mL vials, Rx only, Essential Wellness PHARMACY, 4625 N. University, Peoria, IL 61614.",Lack of Assurance of Sterility:  A recall of all compounded sterile preparations within expiry is being initiated due to observations associated with poor sterile production practices resulting in a lack of sterility assurance for their finished drugs.,Terminated,Class II,"Kalman Health & Wellness, Inc. dba Essential Wellness Pharma",20150903,Voluntary: Firm initiated,Peoria,IL
"Quinapril Tablets USP, 20 mg (90 pack), Rx Only, Manufactured for: Lupin Pharmaceuticals, Inc. Baltimore, Maryland 21202, by: Lupin Limited, Goa 403 722 India, NDC# 68180-558-09",CGMP Deviations: Detection of N-Nitroso-quinapril impurity above the acceptable daily intake limit.,Terminated,Class II,Lupin Pharmaceuticals Inc.,20221207,Voluntary: Firm initiated,Baltimore,MD
"Q Care Oral Cleansing & Suctioning System compatible with 0.12% Chlorhexidine Gluconate (CHG) Oral Rinse. Contains 1 Covered Yankauer and Y-Connector, 2 Untreated Suction Toothbrush packages,  4  Suction Oral Swab packages with Corinz Antiseptic Cleansing and Moisturizing Oral Rinse, 2 Oropharyngeal Suction Catheter packages. Sage Products, Inc., 3909 Three Oaks Road, Cary, IL 60013. Product Code 6994 UPC 6 18029 83094 4",Cross Contamination With Other Products: Oral care solutions were manufactured by a third party supplier on equipment shared with non-pharmaceutical products,Terminated,Class II,Sage Products Inc,20170822,Voluntary: Firm initiated,Cary,IL
"Secret, OUTLAST, Dry Spray, (Aluminum chlorohydrate 23.5%), Antiperspirant, Completely Clean, Topical spray can 3.8 oz (107 g), Dist. by: Procter & Gamble, Cincinnati, OH 45202. NDC: 69423-384-10, UPC 0 37000 74764 2",CGMP Deviation; manufactured at the same facility where other lots were found to be contaminated with benzene,Terminated,Class II,The Procter & Gamble Company,20211123,Voluntary: Firm initiated,Cincinnati,OH
"Fludeoxyglucose F 18 Injection USP, 20-200 mCi/mL, Diagnostic - For Intravenous Use Only, Manufactured by PETNET Solutions, Inc., Knoxville, TN",cGMP Deviation,Terminated,Class II,Petnet Solution Inc,20130222,Voluntary: Firm initiated,Irvine,CA
"Valsartan and Hydrochlorothiazide (HCTZ) Tablets, USP 160 mg/12.5 mg tablets, USP 90-count bottle, Rx Only, Rx Only, Manufactured by: Arrow Pharma (Malta) Ltd. India, Distributed by: Actavis Pharma, Inc. Parsippany, NJ 07054. NDC 0591-2316-19.",CGMP Deviations: Carcinogen impurity detected in API used to manufacture drug product.,Ongoing,Class II,Teva Pharmaceuticals USA,20180716,Voluntary: Firm initiated,North Wales,PA
HCG  3000U/1ML INJ in 4 mL vial Assurance Infusion (713)533-8800,Lack of sterility assurance.,Terminated,Class II,Assurance Infusion,20191220,Voluntary: Firm initiated,Houston,TX
"Methyl Folate CA+ 1mg/ml Injection w/Pres. (Benzyl Alcohol 1% in Sterile Water), 10 mL and 30 mL vials, Rx only, la VITA Compounding Pharmacy, 858.453.2500",Lack of Processing Controls: products produced in a manner that calls into question the sterility of the drug product intended to be sterile.,Terminated,Class II,"La Vita Compounding Pharmacy, LLC",20180625,Voluntary: Firm initiated,San Diego,CA
"Losartan Potassium / Hydrochlorothiazide Tablets, USP 100mg/25mg,  a) 30-count (NDC: 13668-118-30), b) 90-count (NDC: 13668-118-90), c) 1000-count (NDC: 13668-118-10) per bottle , Rx only, Manufactured by: Torrent Pharmaceuticals LTD, Indrad-382 721, Dist. Mehsana India.  For: Torrent Pharma, Inc, 150 Allen Road, Suite 102, Basking Ridge, NJ","CGMP Deviations: FDA lab confirmed presence of an impurity, N-Methylnitrosobutyric acid (NMBA)  in the finished product above the interim acceptable daily intake level.",Ongoing,Class II,Torrent Pharma Inc.,20190228,Voluntary: Firm initiated,Basking Ridge,NJ
"Acupuncture, Distributed by Herbal Doctor Remedies Alhambra, CA 91801-7081 USA, 1(800) 600-0808",CGMP Deviations: These products have been found to be misbranded as unapproved new drugs,Terminated,Class II,Herbal Doctor Remedies,20200324,Voluntary: Firm initiated,Monterey Park,CA
"Mitomycin 0.3 mg/mL Injectable, 10 mL vials, compounded by The Compounding Shop, St. Petersburg, FL",Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,Terminated,Class II,"THE COMPOUNDING SHOP, INC.",20130502,Voluntary: Firm initiated,St Petersburg,FL
"PGE1 40 MCG/ML* INJECTABLE, (2) 5ml (b) 10ml, (c) 6ml (d) 9ml, Professional Compounding Pharmacy, 996 NW Circle Blvd. #105 Corvallis, OR 97330 .",Lack of Processing Controls: Insanitary conditions observed during compounding of sterile drugs during recent FDA Inspection.,Terminated,Class II,Health Solutions Pharmacy Center Inc dba Professional Compounding Pharmacy,20190221,Voluntary: Firm initiated,Corvallis,OR
"LEADER brand Eye Irritation Relief (Polyvinyl alcohol 0.5%, Povidone 0.6%, Tetrahydrozoline Hydrochloride 0.05%), 0.5 FL OZ (15 mL) dropper bottles, Sterile, Distributed By Cardinal Health, Dublin, Ohio 43017,  Made in India NDC: 70000-0087-1",Non-Sterility: FDA found insanitary conditions and positive bacterial test results from environmental sampling at the manufacturing facility.,Ongoing,Class I,Cardinal Health Inc.,20231031,Voluntary: Firm initiated,Dublin,OH
"Exforge (amlodipine and valsartan Tablets) 5/160 mg, Rx only 7 tablets per bottle, Physician Sample - Not For Sale.  Manufactured by: Novartis Pharma Stein AG Stein, Switzerland.  Distributed by: Novartis Pharmaceuticals Corp. East Hanover, New Jersey 07936 - NDC # 0078-9488-07","Chemical Contamination: Novartis Pharmaceuticals Corporation has recalled physician sample bottles of Diovan, Exforge, Exforge HCT,Lescol XL, Stalevo, Tekturna and Tekturna HCT Tablets due to contamination with Darocur 1173 a photocuring agent used in inks on shrink-wrap sleeves.",Terminated,Class II,Novartis Pharmaceuticals Corp.,20130808,Voluntary: Firm initiated,Suffern,NY
"Aquaflora Phase I Candida Control Program, Net 16 fl. oz. (1 PT) 473 mL, Homeopathic Formula, Manufactured by: King Bio, Inc. 3 Westside Dr. Asheville, NC 28806 USA, UPC 357955160168, NDC 57955-1601-6",Microbial contamination,Terminated,Class I,King Bio Inc.,20180720,Voluntary: Firm initiated,Asheville,NC
"Sulfur Ointment 10%, Pomada de Azufre, 2.6 OZ (73.7g) jar; Manufactured by/ Fabricado por: De La Cruz Products, A Division of DLC Laboratories, Inc. Paramount, CA 9023 USA; UPC 024286150426",Labeling: Label Mix-Up. THe English label with Drug Facts panel for Camphor was incorrectly placed on product.,Terminated,Class II,"DLC Laboratories, Inc",20210106,Voluntary: Firm initiated,Paramount,CA
"Tri-Mix (15 mg/0.5 mg/20 mcg) Injectable, Multi-Dose Vial, Sterile, Keep Frozen, The Compounding Pharmacy of America, Knoxville, TN",Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Terminated,Class II,The Compounding Pharmacy of America,20150602,Voluntary: Firm initiated,Knoxville,TN
"Bromfenac Ophthalmic Solution 0.09%, a) 2.5 mL bottles (NDC 0378-7110-35) and b) 5 mL bottles (NDC 00378-7109-35), Rx only, Mylan Pharmaceuticals, Inc., Morgantown, WV 26505",Lack of Assurance of Sterility: Failed preservative effectiveness test,Terminated,Class II,Mayne Pharma Usa,20160105,Voluntary: Firm initiated,Greenville,NC
"Diltiazem HCL 125 mg added to 0.9% Sodium Chloride 100 ml bag, 125 mL bag, Rx Only, Banner Health Compounding Pharmacy 7300 W Detroit St Chandler, AZ 85226, NDC 7025018601",Lack of Assurance of Sterility.,Terminated,Class II,"Banner Pharmacy Services, LLC",20171010,Voluntary: Firm initiated,Chandler,AZ
