product_ndc,generic_name,brand_name,labeler_name,active_ingredients,dosage_form,route,product_type,marketing_category,application_number
51672-4001,Nortriptyline Hydrochloride,Nortriptyline Hydrochloride,"Taro Pharmaceuticals U.S.A., Inc.",NORTRIPTYLINE HYDROCHLORIDE (10 mg/1),CAPSULE,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA075520
51824-045,"Camphor, Menthol, Eucalyptus",CareAll Medicated Chest Rub,"New World Imports, Inc",CAMPHOR (SYNTHETIC) (.048 g/g); EUCALYPTUS OIL (.012 g/g); MENTHOL (.026 g/g),OINTMENT,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M012
52000-109,potassium nitrate and sodium fluoride,UNIVERSAL SENSITIVE ANTI-CAVITY FLUORIDE,Universal Distribution Center LLC,POTASSIUM NITRATE (5 g/100g); SODIUM FLUORIDE (.15 g/100g),PASTE,DENTAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M022
52410-3021,Menthol,MedPride Cold Ice Analgesic Gel,SHIELD LINE LLC,MENTHOL (4.54 g/227g),GEL,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M017
52817-282,clomipramine hydrochloride,Clomipramine Hydrochloride,TruPharma LLC,CLOMIPRAMINE HYDROCHLORIDE (75 mg/1),CAPSULE,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA210653
53097-569,Dronabinol,Marinol,"ThePharmaNetwork, LLC",DRONABINOL (5 mg/1),CAPSULE,ORAL,HUMAN PRESCRIPTION DRUG,NDA,NDA018651
0220-2674,IODINE,Iodium,Boiron,IODINE (30 [hp_C]/30[hp_C]),PELLET,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
0023-4554,carboxymethylcellulose sodium,REFRESH CELLUVISC,"Allergan, Inc.",CARBOXYMETHYLCELLULOSE SODIUM (10 mg/mL),GEL,OPHTHALMIC,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M018
0220-2819,POTASSIUM BROMIDE,Kali bromatum,Boiron,POTASSIUM BROMIDE (6 [hp_C]/6[hp_C]),PELLET,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
53943-207,Ethyl Alcohol,DDM Decolorized Iodine,Discount Drug Mart,ALCOHOL (.45 mL/mL),LIQUID,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M003
54257-170,FEXOFENADINE HYDROCHLORIDE,Allergy Relief,"Magno-Humphries, Inc.",FEXOFENADINE HYDROCHLORIDE (180 mg/1),TABLET,ORAL,HUMAN OTC DRUG,ANDA,ANDA204507
54473-289,Titanium Dioxide 5% and Zinc Oxide 5%,Sei Bella Tinted BB Moisturizing Creme Medium to Deep 500 W,Melaleuca Inc.,TITANIUM DIOXIDE (1.5 g/30mL); ZINC OXIDE (1.5 g/30mL),LOTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
55118-701,Benzalkonium Chloride,KLEENEX Foam Hand Sanitizer,Kimberly-Clark,BENZALKONIUM CHLORIDE (1.3 mg/1000mL),SOLUTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M003
54860-432,alcohol,Licensed Hand Sanitizer Barbie 01,"Shenzhen Lantern Scicence Co.,Ltd.",ALCOHOL (70 mL/100mL),SPRAY,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M003
55037-890,Oxygen/Nitrogen 5/95,Oxygen/Nitrogen 5/95,"MATHESON TRI-GAS, INC.",OXYGEN (50 mL/L),GAS,RESPIRATORY (INHALATION),HUMAN PRESCRIPTION DRUG,NDA,NDA205889
55150-360,Prochlorperazine Edisylate,Prochlorperazine Edisylate,Eugia US LLC,PROCHLORPERAZINE EDISYLATE (5 mg/mL),INJECTION,"INTRAMUSCULAR, INTRAVENOUS",HUMAN PRESCRIPTION DRUG,ANDA,ANDA213873
55154-3573,0.12% Chlorhexidine Gluconate,Major Oral Rinse,"Cardinal Health 107, LLC",CHLORHEXIDINE GLUCONATE (1.2 mg/mL),RINSE,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA077789
55154-8175,Glimepiride,Glimepiride,"Cardinal Health 107, LLC",GLIMEPIRIDE (2 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA077091
55301-533,Dextromethorphan HBr and Guaifenesin,Mucus Relief DM,ARMY AND AIR FORCE EXCHANGE SERVICE,DEXTROMETHORPHAN HYDROBROMIDE (20 mg/1); GUAIFENESIN (400 mg/1),"TABLET, FILM COATED",ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M012
55319-909,"Glycerin, Naphazoline HCl",Family Wellness Maximum Redness Relief Eye Drops,"Family Dollar Services, Inc.",GLYCERIN (.5 g/100mL); NAPHAZOLINE HYDROCHLORIDE (.03 g/100mL),SOLUTION/ DROPS,OPHTHALMIC,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M018
55566-1801,somatropin,ZOMACTON,Ferring Pharmaceuticals Inc.,,KIT,,HUMAN PRESCRIPTION DRUG,BLA,BLA019774
55714-1525,"Aesculus hippocastanum, Juglans regia, Valeriana officinalis, Aconitum napellus, Argentum nitricum, Arsenicum album, Baptisia tinctoria, Bryonia, Carbo vegetabilis, Chamomilla, Cinchona officinalis, Collinsonia canadensis, Colocynthis, Elaterium, Gelsemium sempervirens, Ipecacuanha, Iris versicolor, Lycopodium clavatum, Magnesia carbonica, Phosphorus, Podophyllum peltatum, Rheum, Sulphur, Tabacum, Vaccinium myrtillus",Diarrhea,"Newton Laboratories, Inc.",ACONITUM NAPELLUS (15 [hp_X]/mL); ACTIVATED CHARCOAL (15 [hp_X]/mL); ARSENIC TRIOXIDE (15 [hp_X]/mL); BAPTISIA TINCTORIA ROOT (15 [hp_X]/mL); BILBERRY (15 [hp_X]/mL); BRYONIA ALBA ROOT (15 [hp_X]/mL); CINCHONA OFFICINALIS BARK (15 [hp_X]/mL); CITRULLUS COLOCYNTHIS FRUIT PULP (15 [hp_X]/mL); COLLINSONIA CANADENSIS ROOT (15 [hp_X]/mL); ECBALLIUM ELATERIUM FRUIT (15 [hp_X]/mL); GELSEMIUM SEMPERVIRENS ROOT (15 [hp_X]/mL); HORSE CHESTNUT (6 [hp_X]/mL); IPECAC (15 [hp_X]/mL); IRIS VERSICOLOR ROOT (15 [hp_X]/mL); JUGLANS REGIA LEAF (6 [hp_X]/mL); LYCOPODIUM CLAVATUM SPORE (15 [hp_X]/mL); MAGNESIUM CARBONATE (15 [hp_X]/mL); MATRICARIA CHAMOMILLA (15 [hp_X]/mL); PHOSPHORUS (15 [hp_X]/mL); PODOPHYLLUM (15 [hp_X]/mL); RHEUM OFFICINALE ROOT (15 [hp_X]/mL); SILVER NITRATE (15 [hp_X]/mL); SULFUR (15 [hp_X]/mL); TOBACCO LEAF (15 [hp_X]/mL); VALERIAN (6 [hp_X]/mL),LIQUID,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
55714-4838,"Apis mellifica, Echinacea, Hydrastis canadensis, Thuja occidentalis, Aconitum napellus, Agaricus muscarius, Allium sativum, Aloe, Arnica montana, Arsenicum album, Baptisia tinctoria, Belladonna, Bryonia, Calcarea carbonica, Calendula officinalis, Capsicum annuum, Carduus marianus, Hepar sulphuris calcareum, Iodium, Lachesis mutus, Lycopodium clavatum, Mercurius vivus, Nux vomica, Phosphorus, Pulsatilla, Rhus toxicodendron, Salvia officinalis, Selenium metallicum, Taraxacum officinale, Tarentula hispana,",I-Waker,"Newton Laboratories, Inc.","ACONITUM NAPELLUS (15 [hp_X]/mL); ALOE (15 [hp_X]/mL); AMANITA MUSCARIA FRUITING BODY (15 [hp_X]/mL); ANEMONE PULSATILLA (15 [hp_X]/mL); APIS MELLIFERA (6 [hp_X]/mL); ARNICA MONTANA (15 [hp_X]/mL); ARSENIC TRIOXIDE (15 [hp_X]/mL); ATROPA BELLADONNA (15 [hp_X]/mL); AZADIRACHTA INDICA BARK (16 [hp_X]/mL); BACILLUS ANTHRACIS IMMUNOSERUM RABBIT (16 [hp_X]/mL); BAPTISIA TINCTORIA ROOT (15 [hp_X]/mL); BRYONIA ALBA ROOT (15 [hp_X]/mL); CALCIUM SULFIDE (15 [hp_X]/mL); CALENDULA OFFICINALIS FLOWERING TOP (15 [hp_X]/mL); CAPSICUM (15 [hp_X]/mL); ECHINACEA, UNSPECIFIED (6 [hp_X]/mL); GARLIC (15 [hp_X]/mL); GINGER (15 [hp_X]/mL); GOLDENSEAL (6 [hp_X]/mL); INFLUENZA A VIRUS (30 [hp_X]/mL); INFLUENZA B VIRUS (30 [hp_X]/mL); IODINE (15 [hp_X]/mL); LACHESIS MUTA VENOM (15 [hp_X]/mL); LYCOPODIUM CLAVATUM SPORE (15 [hp_X]/mL); LYCOSA TARANTULA (15 [hp_X]/mL); MERCURY (15 [hp_X]/mL); MILK THISTLE (15 [hp_X]/mL); OYSTER SHELL CALCIUM CARBONATE, CRUDE (15 [hp_X]/mL); PHOSPHORUS (15 [hp_X]/mL); SAGE (15 [hp_X]/mL); SELENIUM (15 [hp_X]/mL); STRYCHNOS NUX-VOMICA SEED (15 [hp_X]/mL); TARAXACUM OFFICINALE (15 [hp_X]/mL); THUJA OCCIDENTALIS LEAFY TWIG (6 [hp_X]/mL); TOXICODENDRON PUBESCENS LEAF (15 [hp_X]/mL); ZINC (15 [hp_X]/mL)",LIQUID,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
55910-307,Lansoprazole,dg health lansoprazole,Dolgencorp Inc,LANSOPRAZOLE (15 mg/1),"CAPSULE, DELAYED RELEASE",ORAL,HUMAN OTC DRUG,ANDA,ANDA202319
55910-887,guaifenesin,DG health mucus er max,Dolgencorp Inc,GUAIFENESIN (1200 mg/1),"TABLET, MULTILAYER, EXTENDED RELEASE",ORAL,HUMAN OTC DRUG,ANDA,ANDA078912
56104-246,Benzethonium chloride Dyclonine hydrochloride,Premier Solutions Liquid Bandage,"Premier Brands of America, Inc.",BENZETHONIUM CHLORIDE (.2 mg/10mL); DYCLONINE HYDROCHLORIDE (.75 mg/10mL),LIQUID,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M003
57237-350,Clotrimazole Antifungal,MICOCLEAR,"Rising Pharma Holdings, Inc.",CLOTRIMAZOLE (10 mg/g),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M005
57362-466,Ethyl Alcohol,Zylast Antiseptic S,Innovative BioDefense,ALCOHOL (760 mL/1000mL),LIQUID,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,505G(a)(3)
0024-5761,insulin glargine and lixisenatide,Soliqua 100/33,Sanofi-Aventis U.S. LLC,INSULIN GLARGINE (100 U/mL); LIXISENATIDE (33 ug/mL),"INJECTION, SOLUTION",SUBCUTANEOUS,HUMAN PRESCRIPTION DRUG,BLA,BLA208673
57677-063,TITANIUM DIOXIDE and ZINC OXIDE,DAILY LIGHT GUARD DEFENSE FLUID BROAD SPECTRUM SPF 30,Aveda Corporation,TITANIUM DIOXIDE (63 mg/mL); ZINC OXIDE (41 mg/mL),LOTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
57896-658,Loratadine,Allergy relief,Geri-Care Pharmaceutical Corp,LORATADINE (10 mg/1),TABLET,ORAL,HUMAN OTC DRUG,ANDA,ANDA075209
0220-4485,SANGUINARIA CANADENSIS ROOT,Sanguinaria canadensis,Boiron,SANGUINARIA CANADENSIS ROOT (30 [hp_C]/30[hp_C]),PELLET,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
58411-503,OCTINOXATE and TITANIUM DIOXIDE,SHISEIDO SYNCHRO SKIN SELF-REFRESHING FOUNDATION 420 BRONZE,SHISEIDO AMERICAS CORPORATION,OCTINOXATE (1.69 g/30mL); TITANIUM DIOXIDE (2.001 g/30mL),EMULSION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
0220-4567,SMILAX ORNATA ROOT,Sarsaparilla,Boiron,SMILAX ORNATA ROOT (12 [hp_C]/12[hp_C]),PELLET,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
0220-4627,CLAVICEPS PURPUREA SCLEROTIUM,Secale cornutum,Boiron,CLAVICEPS PURPUREA SCLEROTIUM (1 [hp_M]/[hp_M]),PELLET,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
58933-002,Bismuth Subsalicylate,Pepto Bismol CHEWABLES,Procter & Gamble Manufactura S de RL de CV,BISMUTH SUBSALICYLATE (262 mg/1),"TABLET, CHEWABLE",ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M008
59088-334,Chlorhexidine Gluconate Surgical Combo Kit,DermacinRx Surgical ComboPak,PureTek Corporation,,KIT,,HUMAN PRESCRIPTION DRUG,UNAPPROVED DRUG OTHER,
60760-723,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,ST. MARY'S MEDICAL PARK PHARMACY,DOXYCYCLINE HYCLATE (100 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA211343
60846-804,levothyroxine sodium,Unithroid,Amneal Pharmaceuticals LLC,LEVOTHYROXINE SODIUM (88 ug/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,NDA,NDA021210
61077-123,"calendula officinalis, silicea, thuja occidentalis",H-Nail Fungus Formula,Healing Natural Oils LLC,CALENDULA OFFICINALIS FLOWERING TOP (12 [hp_C]/11mL); SILICON DIOXIDE (12 [hp_C]/11mL); THUJA OCCIDENTALIS LEAFY TWIG (12 [hp_C]/11mL),OIL,TOPICAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
61477-237,"Avobenzone 3.0%, Homosalate 7.5%, Octisalate 5.0%",Aloe Up SPF 30 coco-mango mist,Aloe Up,AVOBENZONE (3 g/100g); HOMOSALATE (7.5 g/100g); OCTISALATE (5 g/100g),SPRAY,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
61657-0052,"ECHINACEA,BAPTISIA,APIS MELLIFICA ,FERRUM PHOSPHORICUM ,",BACTOFLAM,WHITE MANUFACTURING INC. DBA MICRO WEST,"APIS MELLIFERA (12 [hp_X]/30mL); ARSENIC TRIOXIDE (12 [hp_X]/30mL); ATROPA BELLADONNA (12 [hp_X]/30mL); BAPTISIA TINCTORIA ROOT (3 [hp_X]/30mL); ECHINACEA, UNSPECIFIED (3 [hp_X]/30mL); FERRUM PHOSPHORICUM (12 [hp_X]/30mL); TOXICODENDRON PUBESCENS LEAF (12 [hp_X]/30mL)",LIQUID,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
59353-002,epoetin alfa-epbx,RETACRIT,Vifor (International) Inc.,EPOETIN (2000 [iU]/mL),"INJECTION, SOLUTION","INTRAVENOUS, SUBCUTANEOUS",HUMAN PRESCRIPTION DRUG,BLA,BLA125545
59469-325,"aconitum napellus, Selenicereus grandiflorus Whole, arabica coffee bean, lobelia inflata, ferula sumbul root, Convallaria majalis Flowering Top, prunus laurocerasus leaf, and Leonurus cardiaca Flowering Top",coro-CALM,PEKANA Naturheilmittel GmbH,ACONITUM NAPELLUS WHOLE (6 [hp_X]/50mL); ARABICA COFFEE BEAN (10 [hp_X]/50mL); CONVALLARIA MAJALIS FLOWERING TOP (12 [hp_X]/50mL); FERULA SUMBUL ROOT (4 [hp_X]/50mL); LEONURUS CARDIACA FLOWERING TOP (6 [hp_X]/50mL); LOBELIA INFLATA WHOLE (4 [hp_X]/50mL); PRUNUS LAUROCERASUS LEAF (3 [hp_X]/50mL); SELENICEREUS GRANDIFLORUS WHOLE (2 [hp_X]/50mL),SOLUTION/ DROPS,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
59651-309,Fluoxetine,Fluoxetine,Aurobindo Pharma Limited,FLUOXETINE HYDROCHLORIDE (20 mg/1),"TABLET, FILM COATED",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA213286
59651-802,Esomeprazole Magnesium,Esomeprazole Magnesium,Aurobindo Pharma Limited,ESOMEPRAZOLE MAGNESIUM TRIHYDRATE (5 mg/1),"GRANULE, DELAYED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA218948
60429-590,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,"Golden State Medical Supply, Inc.",ACETAMINOPHEN (325 mg/1); HYDROCODONE BITARTRATE (5 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA040409
59746-217,spironolactone,Spironolactone,Jubilant Cadista Pharmacuticals Inc.,SPIRONOLACTONE (50 mg/1),"TABLET, FILM COATED",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA203253
59779-441,Doxylamine succinate,NIGHTTIME SLEEP AID,CVS Pharmacy,DOXYLAMINE SUCCINATE (25 mg/1),TABLET,ORAL,HUMAN OTC DRUG,ANDA,ANDA040167
60219-1144,Darunavir,Darunavir,Amneal Pharmaceuticals NY LLC,DARUNAVIR (600 mg/1),"TABLET, FILM COATED",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA212493
60505-4129,OXCARBAZEPINE,OXCARBAZEPINE,Apotex Corp.,OXCARBAZEPINE (300 mg/1),"TABLET, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA213369
60687-157,Aripiprazole,Aripiprazole,American Health Packaging,ARIPIPRAZOLE (2 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA205064
60687-631,Metoclopramide,Metoclopramide,American Health Packaging,METOCLOPRAMIDE HYDROCHLORIDE (10 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA070184
60717-647,Aluminum Zirconium Trichlorohydrex GLY,Every Man Jack Sandalwood Antiperspirant,"RNA PHARMA,LLC",ALUMINUM ZIRCONIUM TRICHLOROHYDREX GLY (.2 g/g),STICK,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M019
63083-2054,Psorinum Miasm Drops,Psorinum Miasm Drops 2054,Professional Complementary Health Formulas,"ARSENIC TRIOXIDE (30 [hp_X]/59mL); BARIUM CARBONATE (30 [hp_X]/59mL); CALCIUM SULFIDE (30 [hp_X]/59mL); GRAPHITE (30 [hp_X]/59mL); IODINE (30 [hp_X]/59mL); MERCURIUS SOLUBILIS (30 [hp_X]/59mL); OYSTER SHELL CALCIUM CARBONATE, CRUDE (30 [hp_X]/59mL); PHOSPHORUS (30 [hp_X]/59mL); SCABIES LESION LYSATE (HUMAN) (30 [hp_X]/59mL); SILICON DIOXIDE (30 [hp_X]/59mL); SODIUM CHLORIDE (30 [hp_X]/59mL); SULFUR (30 [hp_X]/59mL)",LIQUID,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
63083-6016,Vermex,Vermex 6016,Professional Complementary Health Formulas,ARTEMISIA CINA PRE-FLOWERING TOP (2 [hp_X]/59mL); BERBERIS VULGARIS ROOT BARK (3 [hp_X]/59mL); BLACK WALNUT (2 [hp_X]/59mL); CLOVE (12 [hp_X]/59mL); COPPER (6 [hp_X]/59mL); DRYOPTERIS FILIX-MAS ROOT (4 [hp_X]/59mL); SCHOENOCAULON OFFICINALE SEED (4 [hp_X]/59mL); SPIGELIA MARILANDICA ROOT (3 [hp_X]/59mL); TEUCRIUM MARUM WHOLE (3 [hp_X]/59mL); WORMWOOD (6 [hp_X]/59mL),LIQUID,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
63083-9612,Eye Drops,Eye Drops 9612,Professional Complementary Health Formulas,BOS TAURUS EYE (12 [hp_X]/29.5mL),LIQUID,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
63187-245,Nitrofurantion Macrocrystals,Nitrofurantion Macrocrystals,Proficient Rx LP,NITROFURANTOIN (100 mg/1),CAPSULE,ORAL,HUMAN PRESCRIPTION DRUG,NDA,NDA016620
61957-3018,"OCTISALATE, TITANIUM DIOXIDE",FOREVER Transfer-proof - 24h foundation High perfection Concentrated floral skincare with sunscreen Broad spectrum SPF 15 4.5N,Parfums Christian Dior,OCTISALATE (35 mg/mL); TITANIUM DIOXIDE (37.6 mg/mL),EMULSION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
62032-907,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE, and OXYBENZONE",Obagi Skintrinsiq Antioxidant Protocol,Obagi Cosmeceuticals LLC,,KIT,,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
0245-0570,Isotretinoin,Isotretinoin,"Upsher-Smith Laboratories, LLC",ISOTRETINOIN (10 mg/1),"CAPSULE, LIQUID FILLED",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA212333
0245-1075,Topiramate,QUDEXY XR,"Upsher-Smith Laboratories, LLC",TOPIRAMATE (150 mg/1),"CAPSULE, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,NDA,NDA205122
62332-366,CLONAZEPAM,CLONAZEPAM,Alembic Pharmaceuticals Inc.,CLONAZEPAM (.5 mg/1),"TABLET, ORALLY DISINTEGRATING",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA211033
62332-810,doxorubicin hydrochloride,doxorubicin hydrochloride,Alembic Pharmaceuticals Inc.,DOXORUBICIN HYDROCHLORIDE (2 mg/mL),"INJECTION, SUSPENSION, LIPOSOMAL",INTRAVENOUS,HUMAN PRESCRIPTION DRUG,ANDA,ANDA219199
62135-962,Phenobarbital,Phenobarbital,"Chartwell RX, LLC",PHENOBARBITAL (20 mg/5mL),SOLUTION,ORAL,HUMAN PRESCRIPTION DRUG,UNAPPROVED DRUG OTHER,
62257-876,CHLOROXYLENOL,Sani Mango Antiseptic Hand and Body Wash,"ABC Compounding Co., Inc.",CHLOROXYLENOL (3 mg/mL),SOAP,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M003
62654-148,Zinc oxide,DermaCen Skin Protectant,Central Solutions Inc,ZINC OXIDE (50 mg/mL),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M016
62670-6844,Alcohol,Anti Bacterial Hand Gel Candy Apple Cauldron,"Bath & Body Works, Inc.",ALCOHOL (71 mL/100mL),GEL,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,505G(a)(3)
62742-4235,"Homosalate, Octocrylene, Octisalate, Avobenzone",Sea Clearly Translucent Gel Sunscreen BS SPF 50,Allure Labs,AVOBENZONE (3 g/100g); HOMOSALATE (10 g/100g); OCTISALATE (5 g/100g); OCTOCRYLENE (10 g/100g),GEL,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
62839-3959,Titanium Dioxide,Nu Colour Bioadaptive BB plus Foundation - Medium Ochre,"NSE Products, Inc.",TITANIUM DIOXIDE (130 mg/mL),LOTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
0268-8110,"ALTERNARIA ALTERNATA, ASPERGILLUS FUMIGATUS, CLADOSPORIUM CLADOSPORIOIDES and PENICILLIUM CHRYSOGENUM VAR. CHRYSOGENUM",Mold Mix A,"ALK-Abello, Inc.",ALTERNARIA ALTERNATA (.05 g/mL); ASPERGILLUS FUMIGATUS (.05 g/mL); CLADOSPORIUM CLADOSPORIOIDES (.05 g/mL); PENICILLIUM CHRYSOGENUM VAR. CHRYSOGENUM (.05 g/mL),"INJECTION, SOLUTION",SUBCUTANEOUS,NON-STANDARDIZED ALLERGENIC,BLA,BLA103753
63629-8890,Oxycodone Hydrochloride,Oxycodone Hydrochloride,Bryant Ranch Prepack,OXYCODONE HYDROCHLORIDE (30 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA207418
63645-183,"Avobenzone, Homosalate, Octinoxate, Octisalate, Petrolatum",SPF 45 - Lip Balm,OraLabs,AVOBENZONE (30 mg/g); HOMOSALATE (30 mg/g); OCTINOXATE (75 mg/g); OCTISALATE (50 mg/g); PETROLATUM (400 mg/g),STICK,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,352
63824-515,"Guaifenesin, Phenylephrine Hydrochloride, and Dextromethorphan Hydrobromide",Mucinex Fast-Max Severe Congestion and Cough,RB Health (US) LLC,DEXTROMETHORPHAN HYDROBROMIDE (10 mg/1); GUAIFENESIN (200 mg/1); PHENYLEPHRINE HYDROCHLORIDE (5 mg/1),"TABLET, FILM COATED",ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M012
63187-639,Clopidogrel bisulfate,Clopidogrel bisulfate,Proficient Rx LP,CLOPIDOGREL BISULFATE (75 mg/1),"TABLET, FILM COATED",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA204165
63187-976,Tamoxifen Citrate,Tamoxifen Citrate,Proficient Rx LP,TAMOXIFEN CITRATE (20 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA070929
63323-255,METHYLPREDNISOLONE SODIUM SUCCINATE,Methylprednisolone Sodium Succinate,"Fresenius Kabi USA, LLC",METHYLPREDNISOLONE SODIUM SUCCINATE (40 mg/mL),"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION","INTRAMUSCULAR, INTRAVENOUS",HUMAN PRESCRIPTION DRUG,ANDA,ANDA040583
63323-572,clofarabine,CLOFARABINE,"Fresenius Kabi USA, LLC",CLOFARABINE (1 mg/mL),INJECTION,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,ANDA,ANDA204029
63545-186,Arsenicum Iodatum,Arsenicum Iodatum,"Hahnemann Laboratories, Inc.",ARSENIC TRIIODIDE (12 [hp_C]/1),PELLET,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
63545-428,Acidum Benzoicum,Acidum Benzoicum,"Hahnemann Laboratories, INC.",BENZOIC ACID (6 [hp_C]/1),PELLET,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
63354-381,Avobenzone/Octocrylene/Oxybenzone,BANANA BOAT,Edgewell Personal Care Brands LLC,AVOBENZONE (2.5 g/100g); OCTOCRYLENE (7.5 g/100g); OXYBENZONE (3.5 g/100g),LOTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
63479-2509,"ADENOSINE TRIPHOSPHATE, BAPTISIA TINCTORIA ROOT, CEANOTHUS AMERICANUS LEAF, FUCUS VESICULOSUS, PODOPHYLLUM RESIN, SEPIA OFFICINALIS JUICE, TESTOSTERONE",IMMUNE PLUS Formula,Apex Energetics Inc.,ADENOSINE TRIPHOSPHATE (5 [hp_X]/mL); BAPTISIA TINCTORIA ROOT (4 [hp_C]/mL); CEANOTHUS AMERICANUS LEAF (7 [hp_C]/mL); FUCUS VESICULOSUS (4 [hp_C]/mL); PODOPHYLLUM RESIN (6 [hp_X]/mL); SEPIA OFFICINALIS JUICE (1 [hp_Q]/mL); TESTOSTERONE (4 [hp_C]/mL),SOLUTION/ DROPS,SUBLINGUAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
63545-707,Abies nigra,Abies nigra,"Hahnemann Laboratories, Inc.",PICEA MARIANA RESIN (10 [hp_M]/1),PELLET,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
